Timestamp,No,x,y,z
2025-09-03 17:09:06,104, -10424, -836, 14428
2025-09-03 17:09:06,105, -7984, -2364, 15352
2025-09-03 17:09:06,106, -13148, -4572, 8656
2025-09-03 17:09:06,107, -17112, -3172, 416
2025-09-03 17:09:06,108, -14332, -932, 6832
2025-09-03 17:09:06,109, -12304, -4328, 11296
2025-09-03 17:09:06,110, -23308, 20, 1668
2025-09-03 17:09:07,111, -12988, -1924, 11128
2025-09-03 17:09:07,112, -9180, -5340, -9792
2025-09-03 17:09:07,113, -6500, -12684, -18508
2025-09-03 17:09:07,114, -8276, -11488, -3132
2025-09-03 17:09:07,115, -13336, 14172, 32764
2025-09-03 17:09:07,116, -12476, 4824, 16180
2025-09-03 17:09:07,117, -8416, -2776, 1904
2025-09-03 17:09:07,118, -4060, -10944, -17720
2025-09-03 17:09:07,119, -5568, -11440, -29052
2025-09-03 17:09:07,120, -6964, -2768, 32764
2025-09-03 17:09:08,121, -13300, 19136, 22784
2025-09-03 17:09:08,122, -7376, -10052, -9396
2025-09-03 17:09:08,123, -10796, -13324, -6552
2025-09-03 17:09:08,124, -11056, -6548, 6676
2025-09-03 17:09:08,125, -13052, -8808, 1520
2025-09-03 17:09:08,126, -9996, -4916, 4120
2025-09-03 17:09:08,127, -13760, 2448, 17604
2025-09-03 17:09:08,128, -13200, -892, 11500
2025-09-03 17:09:08,129, -9960, -5172, 13184
2025-09-03 17:09:08,130, -15432, -5004, 10056
2025-09-03 17:09:09,131, -12872, 4088, 11268
2025-09-03 17:09:09,132, -10008, -2588, -3240
2025-09-03 17:09:09,133, -8520, -13372, -22672
2025-09-03 17:09:09,134, -6684, -11408, 956
2025-09-03 17:09:09,135, -15968, 5072, 32764
2025-09-03 17:09:09,136, -10868, -3236, 9800
2025-09-03 17:09:09,137, -8308, -7972, -6500
2025-09-03 17:09:09,138, -5008, -12252, -20676
2025-09-03 17:09:09,139, -4224, -5504, -25660
2025-09-03 17:09:09,140, -7220, 4460, 32764
2025-09-03 17:09:10,141, -12184, 1516, 20820
2025-09-03 17:09:10,142, -8764, -5020, -3692
2025-09-03 17:09:10,143, -5884, -11920, -13476
2025-09-03 17:09:10,144, -5880, -12768, -28996
2025-09-03 17:09:10,145, 1004, -7064, 21192
2025-09-03 17:09:10,146, -12636, 6428, 32764
2025-09-03 17:09:10,147, -8468, -6936, -2164
2025-09-03 17:09:10,148, -6616, -11888, -17072
2025-09-03 17:09:10,149, -6284, -9804, -24128
2025-09-03 17:09:10,150, -4696, -5400, 31312
2025-09-03 17:09:11,151, -11864, 2100, 32764
2025-09-03 17:09:11,152, -6836, -5800, -388
2025-09-03 17:09:11,153, -2456, -13796, -13416
2025-09-03 17:09:11,154, -1044, -15040, -32768
2025-09-03 17:09:11,155, 2564, -10140, 14004
2025-09-03 17:09:11,156, -11548, 3504, 32764
2025-09-03 17:09:11,157, -6716, -3800, 4780
2025-09-03 17:09:11,158, -1480, -14632, -20744
2025-09-03 17:09:11,159, -1344, -11460, -30000
2025-09-03 17:09:11,160, -136, -11012, 26180
2025-09-03 17:09:12,161, -9492, 2124, 32764
2025-09-03 17:09:12,162, -5452, -5828, 2612
2025-09-03 17:09:12,163, 424, -14632, -13600
2025-09-03 17:09:12,164, -2632, -13524, -32576
2025-09-03 17:09:12,165, 2908, -11996, -708
2025-09-03 17:09:12,166, -10772, 1496, 32764
2025-09-03 17:09:12,167, -8888, -3732, 9180
2025-09-03 17:09:12,168, -5640, -10300, -7640
2025-09-03 17:09:12,169, -4008, -13920, -20736
2025-09-03 17:09:12,170, -2416, -12200, -22552
2025-09-03 17:09:13,171, -644, -4408, 32764
2025-09-03 17:09:13,172, -9944, 3388, 28468
2025-09-03 17:09:13,173, -7564, -6504, -216
2025-09-03 17:09:13,174, -3080, -13052, -10656
2025-09-03 17:09:13,175, -2728, -15796, -31648
2025-09-03 17:09:13,176, 7620, -14156, -6540
2025-09-03 17:09:13,177, -8544, 8336, 32764
2025-09-03 17:09:13,178, -7232, -1120, 14920
2025-09-03 17:09:13,179, -2180, -10588, -4664
2025-09-03 17:09:14,180, 2696, -16356, -29472
2025-09-03 17:09:14,181, 3776, -9964, -26184
2025-09-03 17:09:14,182, 1824, -9340, 32764
2025-09-03 17:09:14,183, -9472, 3340, 32764
2025-09-03 17:09:14,184, -6196, -6072, 2344
2025-09-03 17:09:14,185, 1036, -12728, -11240
2025-09-03 17:09:14,186, 520, -13440, -32768
2025-09-03 17:09:14,187, 6084, -14280, -11980
2025-09-03 17:09:14,188, -5872, 4388, 32764
2025-09-03 17:09:14,189, -6952, 1492, 18364
2025-09-03 17:09:15,190, -4048, -9716, -5944
2025-09-03 17:09:15,191, -964, -13804, -19760
2025-09-03 17:09:15,192, -1872, -11260, -32384
2025-09-03 17:09:15,193, 9492, -16060, 11440
2025-09-03 17:09:15,194, -11616, 2056, 32764
2025-09-03 17:09:15,195, -7892, -4764, 9364
2025-09-03 17:09:15,196, -7132, -9820, -6120
2025-09-03 17:09:15,197, -6956, -7932, -12464
2025-09-03 17:09:15,198, -3868, -10372, -32768
2025-09-03 17:09:15,199, 7836, -11096, 5964
2025-09-03 17:09:16,200, -13160, 8092, 32764
2025-09-03 17:09:16,201, -12412, -4592, 380
2025-09-03 17:09:16,202, -13032, -4872, 3960
2025-09-03 17:09:16,203, -14844, -816, 31528
2025-09-03 17:09:16,204, -5848, -4232, 7132
2025-09-03 17:09:16,205, 540, -13440, -12796
2025-09-03 17:09:16,206, -3228, -11504, -18472
2025-09-03 17:09:16,207, -4112, -7180, -13876
2025-09-03 17:09:16,208, -676, -8284, -19768
2025-09-03 17:09:16,209, 1736, -10044, -24676
2025-09-03 17:09:17,210, 13076, -13736, 6032
2025-09-03 17:09:17,211, -4732, 4148, 32764
2025-09-03 17:09:17,212, -8288, -4904, 14388
2025-09-03 17:09:17,213, -8920, -6156, 12308
2025-09-03 17:09:17,214, -7048, -5212, 24112
2025-09-03 17:09:17,215, -1240, -2220, 32764
2025-09-03 17:09:17,216, 3688, -3120, 10356
2025-09-03 17:09:17,217, 5280, -8468, -9592
2025-09-03 17:09:17,218, 4160, -11068, -21024
2025-09-03 17:09:17,219, 2740, -11056, -23420
2025-09-03 17:09:18,220, 4392, -10560, -19580
2025-09-03 17:09:18,221, 3628, -10932, -24120
2025-09-03 17:09:18,222, 18012, -13884, 7532
2025-09-03 17:09:18,223, -2688, 6348, 32764
2025-09-03 17:09:18,224, -7848, -3144, 15100
2025-09-03 17:09:18,225, -8012, -6132, 14804
2025-09-03 17:09:18,226, -7648, -4580, 26092
2025-09-03 17:09:18,227, -3948, -3644, 27972
2025-09-03 17:09:18,228, -252, -1632, 8340
2025-09-03 17:09:18,229, 1912, -5688, -7140
2025-09-03 17:09:19,230, 3692, -9912, -18432
2025-09-03 17:09:19,231, 5524, -11060, -23928
2025-09-03 17:09:19,232, 7460, -7800, -22028
2025-09-03 17:09:19,233, 6536, -8488, -23248
2025-09-03 17:09:19,234, 12276, -12100, -10576
2025-09-03 17:09:19,235, 3168, -1168, 32764
2025-09-03 17:09:19,236, -6184, -884, 24748
2025-09-03 17:09:19,237, -8084, -2944, 17732
2025-09-03 17:09:19,238, -8488, -5548, 15432
2025-09-03 17:09:19,239, -6268, -5328, 29076
2025-09-03 17:09:20,240, -1292, -2060, 24708
2025-09-03 17:09:20,241, 2436, -2336, 2544
2025-09-03 17:09:20,242, 8996, -6984, -11092
2025-09-03 17:09:20,243, 12000, -10144, -25216
2025-09-03 17:09:20,244, 12720, -9796, -24000
2025-09-03 17:09:20,245, 11416, -7916, -23524
2025-09-03 17:09:20,246, 8908, -8380, -19108
2025-09-03 17:09:20,247, 10732, -11076, -2804
2025-09-03 17:09:20,248, 2584, 184, 32764
2025-09-03 17:09:20,249, -6496, 4532, 26512
2025-09-03 17:09:21,250, -8372, -1404, 14668
2025-09-03 17:09:21,251, -9132, -4008, 17104
2025-09-03 17:09:21,252, -6400, -3332, 29772
2025-09-03 17:09:21,253, -3992, -1684, 16544
2025-09-03 17:09:21,254, 584, -1664, 1104
2025-09-03 17:09:21,255, 14096, -8648, -11608
2025-09-03 17:09:21,256, 15196, -10520, -32768
2025-09-03 17:09:21,257, 12024, -8332, -23164
2025-09-03 17:09:21,258, 7932, -9384, -20224
2025-09-03 17:09:21,259, 6040, -7148, -14872
2025-09-03 17:09:22,260, 3424, -9756, 16496
2025-09-03 17:09:22,261, -10188, 1692, 24260
2025-09-03 17:09:22,262, -11456, -1464, 19328
2025-09-03 17:09:22,263, -11992, -1888, 13536
2025-09-03 17:09:22,264, -10348, -1652, 27272
2025-09-03 17:09:22,265, -6800, -2492, 12000
2025-09-03 17:09:22,266, 1904, -7332, -2320
2025-09-03 17:09:22,267, 12672, -13156, -16780
2025-09-03 17:09:22,268, 14128, -10980, -30692
2025-09-03 17:09:23,269, 12988, -5712, -24080
2025-09-03 17:09:23,270, 7212, -6392, -18528
2025-09-03 17:09:23,271, 4752, -10624, 2168
2025-09-03 17:09:23,272, -5708, -5280, 24596
2025-09-03 17:09:23,273, -11560, 492, 18404
2025-09-03 17:09:23,274, -12448, -692, 13796
2025-09-03 17:09:23,275, -13120, -3972, 11720
2025-09-03 17:09:23,276, -11020, -284, 29936
2025-09-03 17:09:23,277, -7624, 100, 18208
2025-09-03 17:09:23,278, -1644, -1732, 1824
2025-09-03 17:09:24,279, 10760, -11576, -11232
2025-09-03 17:09:24,280, 11644, -13564, -31116
2025-09-03 17:09:24,281, 6732, -8356, -24280
2025-09-03 17:09:24,282, 4428, -11980, -19336
2025-09-03 17:09:24,283, 3852, -13196, -10852
2025-09-03 17:09:24,284, -3740, -7928, 26012
2025-09-03 17:09:24,285, -11664, -3252, 14500
2025-09-03 17:09:24,286, -13388, -2744, 20028
2025-09-03 17:09:24,287, -12840, -6224, 7144
2025-09-03 17:09:24,288, -13188, -7400, 22952
2025-09-03 17:09:25,289, -9024, -2304, 20124
2025-09-03 17:09:25,290, -4068, -496, 2676
2025-09-03 17:09:25,291, 4948, -4872, -10384
2025-09-03 17:09:25,292, 9552, -15860, -31284
2025-09-03 17:09:25,293, 5300, -10404, -27640
2025-09-03 17:09:25,294, 1336, -8980, -17620
2025-09-03 17:09:25,295, -2660, -9728, 7224
2025-09-03 17:09:25,296, -13204, -60, 16936
2025-09-03 17:09:25,297, -12416, -1552, 10172
2025-09-03 17:09:25,298, -12904, 2068, 17604
2025-09-03 17:09:26,299, -12928, -580, 13128
2025-09-03 17:09:26,300, -12368, 364, 22560
2025-09-03 17:09:26,301, -10064, 1608, 13260
2025-09-03 17:09:26,302, -2184, 524, -432
2025-09-03 17:09:26,303, 10416, -13708, -19336
2025-09-03 17:09:26,304, 7900, -12232, -32768
2025-09-03 17:09:26,305, 3568, -9640, -24732
2025-09-03 17:09:26,306, 1740, -11252, -9128
2025-09-03 17:09:26,307, -6756, -5812, 17948
2025-09-03 17:09:26,308, -12512, 628, 15340
2025-09-03 17:09:27,309, -12912, 3248, 22844
2025-09-03 17:09:27,310, -14284, -1452, 7644
2025-09-03 17:09:27,311, -13568, -2412, 26020
2025-09-03 17:09:27,312, -10292, 868, 12284
2025-09-03 17:09:27,313, -4364, 1048, -644
2025-09-03 17:09:27,314, 5192, -4384, -11588
2025-09-03 17:09:27,315, 5972, -16056, -28400
2025-09-03 17:09:27,316, 2908, -11940, -27856
2025-09-03 17:09:27,317, 1396, -9688, -18124
2025-09-03 17:09:27,318, -1280, -7512, -6112
2025-09-03 17:09:28,319, -10332, -780, 19464
2025-09-03 17:09:28,320, -13816, 1248, 7568
2025-09-03 17:09:28,321, -14120, 5724, 19660
2025-09-03 17:09:28,322, -14732, 2456, 14044
2025-09-03 17:09:28,323, -12400, 6596, 22392
2025-09-03 17:09:28,324, -7420, 1368, 4236
2025-09-03 17:09:28,325, 76, 1556, -3692
2025-09-03 17:09:28,326, 7732, -15416, -21592
2025-09-03 17:09:28,327, 4316, -21968, -32768
2025-09-03 17:09:28,328, -1328, -10832, -12992
2025-09-03 17:09:29,329, -3784, -4444, -1704
